wmo,cycle,lat,lon,bnw,bbp700_surface_mean3,delta_bbp
1902368,13,56.348,-147.356,0.0014665599446743,0.001935348380357,-0.0004687884356826999
1902369,4,45.006,-133.357,0.0005008206353522,0.000873863697052,-0.0003730430616998
1902369,5,45.02,-133.356,0.0004746729391627,0.0007126806109833,-0.0002380076718206
1902369,6,45.02,-133.354,0.0004746729391627,0.0006829366514769,-0.00020826371231419996
1902369,7,45.038,-133.348,0.0006027951021678,0.0007054455733547,-0.00010265047118689996
1902369,25,45.367,-132.841,0.0081796590238809,0.0009015049630155,0.0072781540608654
1902369,27,45.161,-132.562,0.0033364375121891,0.0014531132765114,0.0018833242356777
1902369,32,44.734,-131.99,0.0041532875038683,0.0010083784388067,0.0031449090650615998
1902369,33,44.703,-131.969,0.0009202256915159,0.0008705289995608,4.9696691955099996e-05
1902371,1,51.953,-142.962,0.0032442717347294,0.0015128395752981,0.0017314321594313002
1902371,2,51.953,-142.968,0.0032442717347294,0.0014531465712934,0.0017911251634360002
1902371,3,51.953,-142.973,0.0032442717347294,0.0014350180669377,0.0018092536677917
1902371,4,51.956,-142.975,0.0032442717347294,0.0014070487425973,0.0018372229921321001
1902371,5,51.96,-142.974,0.0032442717347294,0.0013509391186137,0.0018933326161157
1902371,6,51.963,-142.971,0.0032442717347294,0.0013896072826658,0.0018546644520636
1902371,7,51.962,-142.973,0.0032442717347294,0.0013597856741398,0.0018844860605896
1902371,8,51.957,-142.978,0.0032442717347294,0.0014221717137843,0.0018221000209451001
1902380,81,17.269,-44.988,0.0018035693792626,0.0004217137563197,0.0013818556229429
1902380,84,18.394,-44.495000000000005,0.0025555172469466,0.000417395485177,0.0021381217617696003
1902380,93,18.572,-42.78699999999998,0.0014598085545003,0.0005137744107438,0.0009460341437565
1902380,94,18.677,-42.742999999999995,0.0003547786909621,0.000551117506499,-0.0001963388155369
1902380,95,18.753,-42.778999999999996,0.0003599514311645,0.0005028031397766,-0.00014285170861210003
1902380,96,18.806,-42.685,0.002841024659574,0.0004498676183478,0.0023911570412262
1902380,98,18.774,-41.93799999999999,0.001456988742575,0.0004990944774666,0.0009578942651084
1902380,100,18.611,-41.692999999999984,0.0006098325829952,0.0004552840740264,0.0001545485089688
1902380,112,18.11,-42.64499999999998,0.001661370974034,0.0004910174272178,0.0011703535468162
1902380,114,17.827,-42.579999999999984,0.0021218236070126,0.0004809230643634,0.0016409005426492001
1902380,116,18.235,-42.77600000000001,0.0015992015833035,0.0005219353285307,0.0010772662547728
1902380,117,18.466,-43.15899999999999,0.0006540319300256,0.0005336635804269,0.00012036834959869996
1902380,118,18.66,-43.49400000000003,0.0010006116935983,0.000451086477066,0.0005495252165323
1902382,94,19.015,-30.153999999999996,0.0008289508987218,0.0006245178713773,0.0002044330273445
1902382,98,19.109,-31.202999999999975,0.0014362834626808,0.0007537055644206,0.0006825778982601999
1902382,111,20.086,-32.50400000000002,0.0017125942977145,0.0006004581421924,0.0011121361555221
1902382,113,19.997,-32.218999999999994,0.0021513057872653,0.0006126730780427,0.0015386327092225998
1902382,114,19.829,-32.09699999999998,0.0024459511041641,0.0005921005698231,0.001853850534341
1902382,115,19.563,-31.92500000000001,0.0022118752822279,0.0005735138353581,0.0016383614468698003
1902384,81,20.736,-41.61099999999999,0.0010105512337759,0.0004683116761346,0.0005422395576413
1902384,84,20.254,-41.01799999999997,0.0012260176008567,0.0004939244342191,0.0007320931666375999
1902384,91,20.106,-42.43099999999998,0.0002186172787332,0.0004616637985842,-0.00024304651985099997
1902384,92,20.079,-42.58100000000002,0.001009845174849,0.0005139997423005,0.0004958454325484999
1902384,93,20.052,-42.759000000000015,0.0018032960360869,0.0004626301815733,0.0013406658545136
1902384,94,19.908,-42.93099999999998,0.0013435687869787,0.0004919730708934,0.0008515957160852999
1902384,95,19.62,-43.048,0.0014518364332616,0.0005422349689373,0.0009096014643242999
1902384,96,19.385,-43.041,0.0009689224534668,0.0005008441706498,0.000468078282817
1902384,97,19.27,-42.77999999999997,0.0010396135039627,0.0004979706330535,0.0005416428709092
1902384,100,19.188,-41.66699999999997,0.0015693565364927,0.000451299973065,0.0011180565634277
1902384,112,19.344,-41.05500000000001,0.0024405939038842,0.0005128828537029,0.0019277110501813
1902385,80,24.994,-55.40499999999997,0.0006731910980306,0.0004423795326147,0.00023081156541589996
1902385,82,25.584,-56.418000000000006,0.0009749325690791,0.0005053089504751,0.000469623618604
1902385,84,26.777,-57.115999999999985,0.0009449670324102,0.0004392236296553,0.0005057434027549
1902385,90,25.544,-58.12099999999998,0.0003523727355059,0.0004438551938316,-9.148245832570003e-05
1902385,92,25.143,-58.93599999999998,0.0011698745656758,0.0004722203690713,0.0006976541966045001
1902385,93,24.86,-59.285000000000025,0.0008710545371286,0.0004574028910913,0.00041365164603729995
1902385,94,24.662,-59.519000000000005,0.0006449017091654,0.0006303823417207,1.4519367444700048e-05
1902385,95,24.691,-59.668000000000006,0.0013539808569476,0.0004233340538727,0.0009306468030749
1902385,97,25.238,-59.95600000000002,0.0028947608079761,0.0004832243042377,0.0024115365037384
1902385,102,26.394,-60.83600000000001,0.0020868552383035,0.0004322425520513,0.0016546126862522
1902385,111,25.623,-60.910000000000025,0.0012012725928798,0.0004568183406566,0.0007444542522231999
1902385,112,25.582,-60.61099999999999,0.0008346286485902,0.0004630467058935,0.0003715819426967
1902385,113,25.468,-60.10700000000003,0.0001560343225719,0.0003817436324122,-0.0002257093098403
1902385,116,25.569,-58.250999999999976,0.0035150717012584,0.000384925554196,0.0031301461470624
1902385,118,26.034,-58.137,0.0020301896147429,0.000733271241188,0.0012969183735549003
1902453,36,-2.189,72.368,0.0009484939510002,0.0005425165290944,0.0004059774219058001
1902453,62,-3.52,74.47300000000001,0.0010020685149356,0.0008064877086629,0.00019558080627270007
1902453,64,-3.521,73.84199999999998,0.0007056036265566,0.0005903044948354,0.00011529913172119994
1902453,68,-3.207,74.70999999999998,0.0009270827285945,0.0006673624156974,0.0002597203128971
1902454,47,2.749,57.13300000000001,0.0009536797297187,0.0012749935655544,-0.00032131383583570007
1902454,50,2.03,57.172,0.0011498010717332,0.0008657122768151,0.00028408879491810014
1902454,51,2.735,57.293000000000006,0.000506609736476,0.0010413598890105,-0.0005347501525345
1902454,52,3.975,57.994,0.0021074309479445,0.0008176973205991,0.0012897336273453997
1902454,53,2.54,57.857,0.0020854454487562,0.0007396826598172,0.0013457627889390002
1902454,55,1.973,55.760999999999996,0.0013613133924081,0.0006283304731672,0.0007329829192409
1902454,56,2.18,55.08600000000001,0.0006016819388605,0.0008727364474907,-0.0002710545086302
1902455,52,2.493,70.45600000000002,0.0016387226060032,0.0005489469428236,0.0010897756631796
1902455,65,2.212,74.423,0.0031144886743277,0.0004824355225233,0.0026320531518044
1902455,69,2.979,73.668,0.0013036140007898,0.0006457529768037,0.0006578610239860999
1902456,33,-26.363,56.827,0.0022681332193315,0.0008354966606323,0.0014326365586992
1902456,36,-25.837,55.623999999999995,0.0010690297931432,0.0005692773653815,0.0004997524277617
1902456,38,-25.566,54.260999999999996,0.0001687195763224,0.0006037216129091,-0.0004350020365867
1902456,40,-25.305,52.85499999999999,0.0025220941752195,0.0005894807982258,0.0019326133769936998
1902456,41,-25.465,51.77799999999999,0.0003904394397977,0.0006526917568407,-0.00026225231704299996
1902456,42,-25.887,51.49799999999999,0.0004216976522002,0.0007145084867564,-0.00029281083455620004
1902456,44,-26.265,51.170000000000016,0.0008676188299432,0.0006534957792609,0.00021412305068230003
1902456,45,-26.185,51.170000000000016,0.0030835152138024,0.0006481653933102,0.0024353498204922
1902456,47,-25.865,51.90100000000001,0.0016844664933159,0.0007234993002687,0.0009609671930471999
1902456,51,-24.792,53.14099999999999,0.0007666999590583,0.0007893534105581,-2.2653451499799978e-05
1902456,54,-23.716,54.905,0.0011869042646139,0.0005060798624375,0.0006808244021763999
1902456,59,-23.861,56.105999999999995,0.0030808958690613,0.0004914153832942,0.0025894804857671
1902456,66,-25.254,55.74199999999999,0.0008680343162268,0.0006374693281638,0.00023056498806299996
1902456,68,-25.424,55.857,0.0006266622804105,0.0006705958706637,-4.3933590253199956e-05
1902457,31,5.941,66.221,0.0006761504337191,0.0006096272457701,6.652318794899998e-05
1902457,51,6.037,67.638,0.0019421526230871,0.0005471011390909,0.0013950514839962001
1902457,52,6.219,67.63999999999999,0.0015468437923118,0.0004979249691435,0.0010489188231682998
1902457,57,5.979,67.541,0.001890497165732,0.0006542613070147,0.0012362358587173
1902457,65,5.296,67.81700000000001,0.0022309459745883,0.0006802701585305,0.0015506758160578
1902457,66,5.547,67.95499999999998,0.0011808145791292,0.0006034481339156,0.0005773664452136
1902457,67,6.171,68.98000000000002,0.0007549376459792,0.0007598666901079,-4.929044128699914e-06
1902458,50,12.927,67.83699999999999,0.0007047070539556,0.0007774849267055,-7.277787274990002e-05
1902458,60,12.742,67.261,0.000386285217246,0.0007413743296638,-0.0003550891124178
1902458,63,12.359,67.31700000000001,0.0009144394425675,0.0006183790004191,0.00029606044214839993
1902458,64,12.396,67.261,0.0006543332710862,0.0006870417467628,-3.2708475676599996e-05
1902458,65,12.414,67.24799999999999,0.0007873317226767,0.001059809505629,-0.0002724777829522999
1902458,66,12.242,67.311,0.0003919664013665,0.0006311387599756,-0.0002391723586091
1902458,67,12.039,67.24799999999999,0.0004388890229165,0.000778506800998,-0.0003396177780815
1902490,6,-29.092,1.0529999999999973,0.0020252005197107,0.0005096031042436,0.0015155974154670998
1902490,8,-29.715,0.15799999999998704,0.0020233991090208,0.000542881549336,0.0014805175596848
1902490,14,-30.794,-0.6890000000000214,0.0042337267659604,0.0004974344434837,0.0037362923224767003
1902490,26,-31.218,-2.4110000000000014,0.0012622198555618,0.0008192446548491,0.0004429752007127
1902490,33,-32.133,-4.845000000000027,0.0014448537258431,0.0004793290378681,0.000965524687975
1902492,31,-1.274,-2.901999999999987,2.8718220619339263e-06,0.0007682466530241,-0.000765374830962166
1902492,39,-0.263,-1.4159999999999968,3.87849786420702e-06,0.0014399886131286,-0.001436110115264393
1902493,7,-31.342,-0.41500000000002046,0.0002704864891711,0.0005340882150145,-0.00026360172584339995
