cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time,Bnw,Bnw_std,Bnw_lsig,Bnw_hsig,beta,aph,FLH,GIOP_bbp_700,GIOP_bbp_442,GIOP_bbp_s,GIOP_Y,GIOP_Chl,GIOP_CDOM,PACE_lat,PACE_lon
1902370,1902370QC.nc,28,5.898,165.981,2024-12-14 04:27:59.999996928+00:00,29.545721592544705,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc,0.8079100472837961,2024-12-14 01:37:48+00:00,0.0011824986431747,0.0002378168719587,3.8541038520634174e-05,4.071008879691362e-05,1.9126436710357664,0.0077412500977516,-32767.0,0.000797773647743,0.0022049993276596,1.9781670570373533,2.193476438522339,0.0200417697499551,0.0094147083637761,5.894320011138916,165.9873046875
1902370,1902370QC.nc,34,5.828,167.535,2025-02-12 21:38:00.000005120+00:00,35.40181836064746,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc,4.355696794417756,2025-02-13 02:32:35.500000+00:00,0.0010135842021554,0.0002869587624445,8.3856750279665e-05,8.697900921106339e-05,1.655924916267395,0.0145092690363526,-32767.0,0.0006588321581116,0.0022200047969818,1.89002788066864,2.1231017112731934,0.0163726812497988,0.0222263947804305,5.789614677429199,167.5271453857422
1902371,1902371QC.nc,0,51.955,-142.958,2024-05-11 02:31:59.999999488+00:00,22.702201966968484,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.2843360630494,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,1,51.953,-142.962,2024-05-11 03:33:00.000002560+00:00,13.417189685919896,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.471545338784,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,2,51.953,-142.968,2024-05-11 04:33:59.999995904+00:00,4.611542022291182,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.86060879008005,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,3,51.953,-142.973,2024-05-11 05:32:59.999995904+00:00,-3.4442826882915227,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.18487505304995,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,4,51.956,-142.975,2024-05-11 06:31:00+00:00,-10.121253116170143,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.42242716755493,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,5,51.96,-142.974,2024-05-11 07:29:00.000003584+00:00,-15.346293882918683,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.50184113337974,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,6,51.963,-142.971,2024-05-11 08:28:00.000003584+00:00,-18.77455102751568,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.4160299562378,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
1902371,1902371QC.nc,7,51.962,-142.973,2024-05-11 12:16:00.000003072+00:00,-11.025397970130346,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.5093684358202,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,-32767.0,0.0021797511578051,0.0051899999380111,1.802123427391052,2.0510265827178955,0.0535706254497519,0.0138603084870326,50.8326530456543,-138.2239532470703
