cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time,BING_Bnw,BING_Bnw_std,BING_Bnw_lsig,BING_Bnw_hsig,BING_beta,BING_aph,argo_bbp700
1902370,1902370QC.nc,16,5.055,160.529,2024-08-13 13:32:00.000003072+00:00,-70.4036173041354,PACE_OCI_L2_AOP_PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc,0.5547993914568898,2024-08-14 02:12:52.500000+00:00,0.0007906513055786,0.0001220932608703,4.481751238927245e-05,5.390448495745659e-05,1.4991025924682615,0.0047497921623289,0.00037
1902370,1902370QC.nc,28,5.898,165.981,2024-12-14 04:27:59.999996928+00:00,29.5457215925447,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc,0.8079100472837961,2024-12-14 01:37:48+00:00,0.0015563437482342,0.0003293929912615,6.28115376457572e-05,5.703826900571585e-05,0.2586260437965393,0.007585369516164,0.00043349999999999997
1902370,1902370QC.nc,34,5.828,167.535,2025-02-12 21:38:00.000005120+00:00,35.40181836064746,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc,4.355696794417756,2025-02-13 02:32:35.500000+00:00,0.0015355080831795,0.0004465751699171,0.0001240011770278,0.0001227537868544,0.3630351126194,0.0140091301873326,0.000738
1902370,1902370QC.nc,44,5.447,166.346,2025-05-25 03:19:00.000002560+00:00,51.04738110341779,PACE_OCI_L2_AOP_PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc,10213.028156772772,2025-05-24 09:22:55.500000+00:00,0.0109906317666172,0.0017638535937294,0.0001878412440419,0.0001903157681226,1.9835689067840576,0.0469264239072799,0.0005035
1902370,1902370QC.nc,46,5.264,166.271,2025-06-14 10:15:00.000003584+00:00,-41.59777087889763,PACE_OCI_L2_AOP_PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc,58.16358629633616,2025-06-14 01:43:34.500000+00:00,0.0017353059956803,0.0003122927737422,9.274750482290985e-05,8.315348532050848e-05,0.392598956823349,0.0076067703776061,0.00048550000000000004
1902371,1902371QC.nc,0,51.955,-142.958,2024-05-11 02:31:59.999999488+00:00,22.702201966968484,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,351.2843360630494,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.001414
1902371,1902371QC.nc,1,51.953,-142.962,2024-05-11 03:33:00.000002560+00:00,13.417189685919896,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,351.471545338784,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.001444
1902371,1902371QC.nc,2,51.953,-142.968,2024-05-11 04:33:59.999995904+00:00,4.611542022291182,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,351.86060879008005,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.001513
1902371,1902371QC.nc,3,51.953,-142.973,2024-05-11 05:32:59.999995904+00:00,-3.4442826882915227,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.18487505304995,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.001408
1902371,1902371QC.nc,4,51.956,-142.975,2024-05-11 06:31:00+00:00,-10.121253116170148,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.42242716755493,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.0013709999999999998
