wmo,profile,lat,lon,bnw,bbp700_first3_mean,delta_bbp
1902368,13,56.348,-147.356,0.0014665599446743,0.0013453333333333,0.00012122661134100006
1902369,4,45.006,-133.357,0.0005008206353522,0.0007126666666666,-0.00021184603131439998
1902369,5,45.02,-133.356,0.0004746729391627,0.000683,-0.0002083270608373
1902369,6,45.02,-133.354,0.0004746729391627,0.0007053333333333,-0.0002306603941706
1902369,7,45.038,-133.348,0.0006027951021678,0.0006923333333333,-8.953823116550005e-05
1902369,25,45.367,-132.841,0.0081796590238809,0.000911,0.007268659023880899
1902369,27,45.161,-132.562,0.0033364375121891,0.006601,-0.0032645624878109
1902369,32,44.734,-131.99,0.0041532875038683,0.0008703333333333,0.0032829541705349996
1902369,33,44.703,-131.969,0.0009202256915159,0.001148,-0.00022777430848409995
1902370,16,5.055,160.529,0.0008081672131083,0.0003413333333333,0.000466833879775
1902370,28,5.898,165.981,0.0011824986431747,0.0007106666666666,0.0004718319765081001
1902370,34,5.828,167.53499999999997,0.0010135842021554,0.0003826666666666,0.0006309175354887999
1902371,0,51.955,-142.958,0.0032442717347294,0.0015129999999999,0.0017312717347295
1902371,1,51.953,-142.962,0.0032442717347294,0.001453,0.0017912717347294
1902371,2,51.953,-142.968,0.0032442717347294,0.0014349999999999,0.0018092717347295002
1902371,3,51.953,-142.973,0.0032442717347294,0.001407,0.0018372717347294
1902371,4,51.956,-142.975,0.0032442717347294,0.0013513333333333,0.0018929384013961002
1902371,5,51.96,-142.974,0.0032442717347294,0.0013896666666666,0.0018546050680628
1902371,6,51.963,-142.971,0.0032442717347294,0.00136,0.0018842717347294
1902371,7,51.962,-142.973,0.0032442717347294,0.0014223333333333,0.0018219384013961001
1902371,8,51.957,-142.978,0.0032442717347294,0.0011976666666666,0.0020466050680628
1902372,13,0.35,93.043,0.0024070518556982,0.0006856666666666,0.0017213851890316
1902380,81,17.269,-44.988,0.0018035693792626,0.0004603333333333,0.0013432360459293
1902380,84,18.394,-44.495000000000005,0.0025555172469466,0.0004523333333333,0.0021031839136133003
1902380,93,18.572,-42.78699999999998,0.0014598085545003,0.0005513333333333,0.000908475221167
1902380,94,18.677,-42.742999999999995,0.0003547786909621,0.0005026666666666,-0.00014788797570449997
1902380,95,18.753,-42.778999999999996,0.0003599514311645,0.00045,-9.004856883549999e-05
