wmo,cycle,rrs700,wl_selected_nm,granule,dist_km,lat,lon,source_file
1902368,13,9.100139141082764e-05,699.0,ExpBricaud,673.9792834943856,56.67520332336426,-136.37486267089844,Argo_1902368_013_fits.npz
1902369,4,1.4999881386756897e-05,699.0,ExpBricaud,2.7844278418291495,45.003557205200195,-133.36455535888672,Argo_1902369_004_fits.npz
1902369,5,1.800060272216797e-05,699.0,ExpBricaud,2.868854045392216,45.02280235290527,-133.35302734375,Argo_1902369_005_fits.npz
1902369,6,1.800060272216797e-05,699.0,ExpBricaud,2.7226697238178144,45.02280235290527,-133.34719848632812,Argo_1902369_006_fits.npz
1902369,7,1.800060272216797e-05,699.0,ExpBricaud,2.023922679887059,45.0379524230957,-133.34883880615234,Argo_1902369_007_fits.npz
1902369,25,0.0002750009298324585,699.0,ExpBricaud,60.70398884041265,45.24211883544922,-132.19525146484375,Argo_1902369_025_fits.npz
1902369,27,0.00010900013148784637,699.0,ExpBricaud,78.27034360252124,45.82815742492676,-132.91495513916016,Argo_1902369_027_fits.npz
1902369,32,-0.0001569986343383789,699.0,ExpBricaud,267.7453637987368,43.41204833984375,-129.19354248046875,Argo_1902369_032_fits.npz
1902369,33,9.300000965595245e-05,699.0,ExpBricaud,3.774116303083005,44.694236755371094,-131.94082641601562,Argo_1902369_033_fits.npz
1902370,16,5.299970507621765e-05,699.0,ExpBricaud,1.509892558197008,5.055652856826782,160.5298843383789,Argo_1902370_016_fits.npz
1902370,28,6.500072777271271e-05,699.0,ExpBricaud,1.9090426968687129,5.899624586105347,165.9837646484375,Argo_1902370_028_fits.npz
1902370,34,-0.000160999596118927,699.0,ExpBricaud,12.943423039096096,5.793980598449707,167.45582580566406,Argo_1902370_034_fits.npz
1902371,0,0.00022900104522705078,699.0,ExpBricaud,359.9411816173115,50.92667770385742,-138.02589416503906,Argo_1902371_000_fits.npz
1902371,1,0.00022900104522705078,699.0,ExpBricaud,360.1803201014866,50.92667770385742,-138.02589416503906,Argo_1902371_001_fits.npz
1902371,2,0.00022900104522705078,699.0,ExpBricaud,360.5830661352193,50.92667770385742,-138.02589416503906,Argo_1902371_002_fits.npz
1902371,3,0.00022900104522705078,699.0,ExpBricaud,360.9187055995977,50.92667770385742,-138.02589416503906,Argo_1902371_003_fits.npz
1902371,4,0.00022900104522705078,699.0,ExpBricaud,361.0968221198615,50.92667770385742,-138.02589416503906,Argo_1902371_004_fits.npz
1902371,5,0.00022900104522705078,699.0,ExpBricaud,361.0886552987623,50.92667770385742,-138.02589416503906,Argo_1902371_005_fits.npz
1902371,6,0.00022900104522705078,699.0,ExpBricaud,360.931950850741,50.92667770385742,-138.02589416503906,Argo_1902371_006_fits.npz
1902371,7,0.00022900104522705078,699.0,ExpBricaud,361.05123549066576,50.92667770385742,-138.02589416503906,Argo_1902371_007_fits.npz
1902371,8,0.00022900104522705078,699.0,ExpBricaud,361.3128520105482,50.92667770385742,-138.02589416503906,Argo_1902371_008_fits.npz
1902372,13,-0.00014299899339675903,699.0,ExpBricaud,3.05012474050843,0.3486330211162567,93.04370880126953,Argo_1902372_013_fits.npz
1902380,81,0.00017100200057029724,699.0,ExpBricaud,1.551107533038574,17.26775074005127,-44.987966537475586,Argo_1902380_081_fits.npz
1902380,84,0.00011300109326839447,699.0,ExpBricaud,32.17292668141955,18.17937183380127,-44.55297660827637,Argo_1902380_084_fits.npz
1902380,93,0.00022500008344650269,699.0,ExpBricaud,4.959186296447222,18.55519199371338,-42.78972625732422,Argo_1902380_093_fits.npz
1902380,94,-0.0002159997820854187,699.0,ExpBricaud,454.54073248257566,21.921842575073242,-40.29500961303711,Argo_1902380_094_fits.npz
1902380,95,-4.5998021960258484e-05,699.0,ExpBricaud,3.1521678923962293,18.75065517425537,-42.79167366027832,Argo_1902380_095_fits.npz
1902380,96,-4.999339580535889e-06,699.0,ExpBricaud,56.18510714374386,19.232019424438477,-42.93695259094238,Argo_1902380_096_fits.npz
