idx,bbp,bbp_sig,beta,beta_sig,aph,aph_sig,adg,adg_sig,Sdg,Sdg_sig,true_bbp,true_aph,true_adg
0,0.000593816900167733,5.30695215414765e-05,1.4419426918029785,0.5644906759262085,0.002478790953501255,0.0008913616355065188,0.015423475032425514,0.0011590093656055752,0.01063559576869011,0.000807994045317173,0.0004659100086428225,0.003711000084877014,0.010900000110268593
1,0.0008648716019118754,6.692803262734045e-05,0.8092185258865356,0.6296573728322983,0.002928779834340583,0.000923334891969829,0.012222220003856974,0.0010072818122398184,0.01128334179520607,0.0015483284369111061,0.0007014099974185228,0.004844999872148037,0.007402000017464161
2,0.0005259386730173528,5.845264440015139e-05,0.9033677577972412,0.7133055180311203,0.0007711249886152845,0.0010664750354954645,0.026247129084622525,0.0018480135439490168,0.01035122387111187,0.0004572337493300438,0.0004002499917987734,0.005047000013291836,0.01858999952673912
3,0.0006244798049431561,6.28832060876654e-05,0.8092813491821289,0.6772746220231056,0.0005365187848930499,0.000975260435246457,0.022646804613682254,0.0015493583350230915,0.010656368918716908,0.0008115824311971664,0.0003943699994124472,0.005923999939113855,0.014264999888837337
4,0.0010547522100190557,6.602696287516584e-05,1.0938708782196045,0.639409989118576,0.004320026037284155,0.000975951259716687,0.019320373173037978,0.0017414691598105127,0.010321266949176788,0.00041165249422192574,0.0010601100511848927,0.008553000167012215,0.01282699964940548
5,0.0005217363499818191,8.3951608914242e-05,0.8325297832489014,0.7054045498371124,0.00218445723928342,0.001851241428681769,0.04959594087740938,0.003908353715236863,0.011370079591870308,0.001276163849979639,0.0003399600100237876,0.009171999990940094,0.040539998561143875
6,0.0005525072002785379,5.45900972637579e-05,1.2403260469436646,0.6461544930934906,0.003714338151940322,0.000868186483835178,0.009644344572559024,0.0008384473128016179,0.011732520535588264,0.0020028874278068542,0.00047540999366901815,0.004031000193208456,0.0069240001030266285
7,0.0008650629660306059,6.444560058131401e-05,0.91158527135849,0.6562118083238602,0.0021656663804141612,0.000997249296934317,0.017618350369457473,0.001401497394398002,0.0106065534055233,0.0007600625976920128,0.0007702099974267185,0.006006000097841024,0.01097199972718954
8,0.0015006908250191373,7.864004283553996e-05,0.9457793235778809,0.619463711977005,0.003974484743157135,0.0011692503626344085,0.02865868883828554,0.0028353414977073683,0.010634619742631912,0.0007066987454891205,0.001459109946154058,0.008603000082075596,0.019675999879837036
9,0.0007264030899028163,8.056668420082665e-05,1.0315899848937988,0.7102834582328796,0.001404982724588669,0.0015542361765840016,0.04503106719399419,0.0036679230177290786,0.01110959704965353,0.0010687215253710747,0.0005223099724389613,0.009607000276446342,0.03146100044250488
10,0.002207874338795548,0.00010806910509061018,1.2804603576660156,0.6664721965789795,0.005246841989437673,0.0015067773734076693,0.09702409201953845,0.01311398404540804,0.010318420827388763,0.0003837426193058491,0.0024290101137012243,0.031404998153448105,0.049564000219106674
11,0.0004398410557357062,5.097888636409743e-05,1.396521806716919,0.6042458713054657,0.0024417008336414647,0.0008793001974690213,0.012123737436532526,0.0009313242419210594,0.011362036690115929,0.0015551969408988953,0.00046750999172218144,0.004511999897658825,0.007276999764144421
12,0.0008311623084462715,6.911363779603364e-05,1.1230640411376953,0.6534024775028229,0.0035394275676976766,0.0011133213030281764,0.016312234150693408,0.0014134983823627387,0.0119395200163126,0.0017944523133337498,0.0007768099894747138,0.005255000200122595,0.012552999891340733
13,0.00103548286733117,7.054684645278671e-05,0.9294707775115967,0.6755246520042419,0.0027376274912849163,0.0012164138988325045,0.026817197541096873,0.002342506968082478,0.010645739734172821,0.0007464871741831303,0.0009240100043825805,0.00661499984562397,0.019089000299572945
14,0.0009929164773273564,7.493116300074629e-05,0.42963138222694397,0.4804842732846737,0.0010572357232781417,0.0013139667821804345,0.03033194187993672,0.002087363708193969,0.010750705376267433,0.000853352714329958,0.0007729100179858506,0.007511999923735857,0.02338000014424324
15,0.0011115620817417516,7.543360511946112e-05,1.362133502960205,0.5996763110160828,0.0006448974811910664,0.001126665430934672,0.03539779281138404,0.003011050744340424,0.010864109732210636,0.0008656722493469715,0.0009621100034564734,0.008578999899327755,0.02386699989438057
16,0.0006972439309984929,8.496291331585779e-05,0.9916850328445435,0.7011030316352844,0.0005601417317853342,0.0012405977881818004,0.04793209289856566,0.0036859913240930055,0.012247403152287006,0.001430936623364687,0.0006232099840417504,0.009192000143229961,0.04208800196647644
