Wavelength,Rrs,Rrs_unc
351,0.014104001224040985,0.0009142000344581902
353,0.014125999063253403,0.000893849995918572
356,0.014170002192258835,0.0008758000330999494
358,0.014244001358747482,0.0008584500174038112
361,0.014334000647068024,0.000838849984575063
363,0.014382001012563705,0.0008208500221371651
366,0.013964001089334488,0.0008020999957807362
368,0.01368200033903122,0.0007867999956943095
371,0.01356000080704689,0.0007712999940849841
373,0.013412002474069595,0.0007562499959021807
375,0.013261999934911728,0.0007416000007651746
378,0.013054002076387405,0.0006619999767281115
380,0.01289600133895874,0.0006502000032924116
383,0.012852001935243607,0.0006394999800249934
385,0.012798000127077103,0.0006288500153459609
388,0.012641999870538712,0.0006191499996930361
390,0.01238200068473816,0.0006085499771870673
393,0.01223200187087059,0.0005987500189803541
395,0.012334000319242477,0.000590000010561198
398,0.012267999351024628,0.0005801999941468239
400,0.01184999942779541,0.0005704499781131744
403,0.011442001909017563,0.0005608500214293599
405,0.011231999844312668,0.0005517000099644065
408,0.01090800017118454,0.0005428000004030764
410,0.010547999292612076,0.0005338499904610217
413,0.010253999382257462,0.0005251499824225903
415,0.009840000420808792,0.0005167500348761678
418,0.009584002196788788,0.0005093000363558531
420,0.00950000062584877,0.0005019500385969877
422,0.009422000497579575,0.0004943000385537744
425,0.009314000606536865,0.0004870999837294221
427,0.00916600227355957,0.000480000046081841
430,0.009006001055240631,0.0004729999927803874
432,0.0088919997215271,0.00046659994404762983
435,0.008734002709388733,0.0004596499493345618
437,0.008526001125574112,0.00045285001397132874
440,0.008262000977993011,0.00044584996066987514
442,0.008085999637842178,0.00043955002911388874
445,0.007913999259471893,0.00043314998038113117
447,0.007626000791788101,0.00042675004806369543
450,0.007454000413417816,0.0004205999430269003
452,0.007416002452373505,0.00041750003583729267
455,0.0070700012147426605,0.00041125004645437
457,0.0066919997334480286,0.0004054500022903085
460,0.006326001137495041,0.00039884995203465223
462,0.00587800145149231,0.0003935500280931592
465,0.005490001291036606,0.00038790004327893257
467,0.005116000771522522,0.0003829499473795295
470,0.0046800002455711365,0.0003771999618038535
472,0.004243999719619751,0.0003723000409081578
475,0.003760002553462982,0.00036639999598264694
477,0.0034020021557807922,0.00036275002639740705
480,0.003171999007463455,0.0003575000446289778
482,0.003056000918149948,0.00035324995405972004
485,0.0030240006744861603,0.00034829997457563877
487,0.002918001264333725,0.0003434000536799431
490,0.00279800221323967,0.0003389000194147229
492,0.00267999991774559,0.000334650045260787
495,0.002628002315759659,0.00032979995012283325
497,0.002558000385761261,0.0003255000337958336
500,0.00244000181555748,0.00032174994703382254
502,0.00233599916100502,0.00031745003070682287
505,0.002272002398967743,0.0003134500002488494
507,0.002224002033472061,0.0003091499675065279
510,0.0021059997379779816,0.000304899993352592
512,0.0019880011677742004,0.0003007500199601054
515,0.0019019991159439087,0.0002968000480905175
517,0.0017659999430179596,0.00029280001763254404
520,0.0016300007700920105,0.00028855004347860813
522,0.0015820004045963287,0.0002840999513864517
525,0.0015420019626617432,0.00028010003734380007
527,0.0014839991927146912,0.0002762499498203397
530,0.001384001225233078,0.0002722999779507518
532,0.0012420006096363068,0.0002678500022739172
535,0.0011320002377033234,0.00026424997486174107
537,0.001019999384880066,0.0002602499444037676
540,0.0009200014173984528,0.0002568999771028757
542,0.0008199997246265411,0.0002531500067561865
545,0.0007960014045238495,0.0002493000356480479
547,0.0008220002055168152,0.0002456499496474862
550,0.0007540024816989899,0.00024259998463094234
553,0.0006980001926422119,0.00023929995950311422
555,0.00035800039768218994,0.00020809995476156473
558,0.000342000275850296,0.00020474998746067286
560,0.000342000275850296,0.000201700022444129
563,0.00026400014758110046,0.00019924994558095932
565,0.00023199990391731262,0.00019589997828006744
568,0.00017200037837028503,0.00019289995543658733
570,8.999928832054138e-05,0.00018934998661279678
573,9.800121188163757e-05,0.00018660002388060093
575,0.00017400085926055908,0.0001838000025600195
578,0.0002500005066394806,0.00018115004058927298
580,0.00024200230836868286,0.00017829996068030596
583,0.00024200230836868286,0.0001759999431669712
586,0.00026800110936164856,0.00017464999109506607
588,0.0002540014684200287,0.00017314997967332602
591,0.00022600218653678894,0.00017170002683997154
593,0.00019200146198272705,0.00017030001617968082
596,0.0001359991729259491,0.00016880000475794077
598,0.00014200061559677124,0.0001676500542089343
601,0.00018399953842163086,0.00016645004507154226
603,0.00021000206470489502,0.00016519997734576464
605,0.0002459995448589325,0.00016395002603530884
608,0.00024200230836868286,0.00016255001537501812
610,0.00020800158381462097,0.00016125000547617674
613,0.00017600134015083313,0.00016024999786168337
615,0.00019999966025352478,0.0001591000473126769
618,0.00020600110292434692,0.0001573499757796526
620,0.00023400038480758667,0.00015620002523064613
623,0.00026400014758110046,0.00015490001533180475
625,0.00023800134658813477,0.00015324994456022978
627,0.00021000206470489502,0.0001517999917268753
630,0.00021000206470489502,0.0001505500404164195
632,0.00019999966025352478,0.00014919997192919254
635,0.00019999966025352478,0.00014789996203035116
637,0.00021000206470489502,0.00014665001071989536
640,0.00020200014114379883,0.00014545000158250332
641,0.00020800158381462097,0.00014424999244511127
642,0.00020600110292434692,0.0001429499825462699
643,0.00019600242376327515,0.0001417000312358141
645,0.0001860000193119049,0.00014080002438277006
646,0.00016600266098976135,0.0001394499558955431
647,0.00014800205826759338,0.00013780000153928995
648,0.0001440010964870453,0.00013669999316334724
650,0.00014200061559677124,0.00013555004261434078
651,0.00014600157737731934,0.0001343999756500125
652,6.600096821784973e-05,0.00013269996270537376
653,7.800012826919556e-05,0.00013159995432943106
655,5.000084638595581e-05,0.0001304500037804246
656,-6.999820470809937e-05,0.00012910005170851946
657,-0.00022599846124649048,0.00012770004104822874
658,-0.00032999739050865173,0.00012640003114938736
660,-0.0003939978778362274,0.00012514996342360973
661,-0.00035800039768218994,0.0001241000136360526
662,-0.00028200075030326843,0.00012320000678300858
663,-0.0002379976212978363,0.00012214994058012962
665,-0.00014799833297729492,0.00012125005014240742
666,-4.199892282485962e-05,0.00012039998546242714
667,1.600012183189392e-05,0.00011929997708648443
668,1.000240445137024e-05,0.00011819996871054173
670,-3.200024366378784e-05,0.00011699995957314968
671,-6.400048732757568e-05,0.00011575000826269388
672,-6.600096821784973e-05,0.00011469994205981493
673,-4.399940371513367e-05,0.00011370005086064339
675,-2.9999762773513794e-05,0.00011264998465776443
676,-3.999844193458557e-05,0.00011154997628182173
677,-5.3998082876205444e-05,0.00011014996562153101
678,-8.599832653999329e-05,0.0001090499572455883
679,-0.00011399760842323303,0.0001079499488696456
681,-0.00010799989104270935,0.00010699999984353781
682,-0.00012400001287460327,0.00010595005005598068
683,-0.00012999773025512695,0.00010489998385310173
684,-0.00014799833297729492,0.00010389997623860836
686,-0.00019399821758270264,0.00010295002721250057
687,-0.00018800050020217896,0.00010155001655220985
688,0.0003200024366378784,0.00010169995948672295
