file,wavelength_nm,Rrs,aph,bb,bbnw,bbph,bbd
Hydrolight100.nc,350.0,0.010835000313818455,0.0035649999044835567,0.006967700086534023,0.0010503999656066298,0.00045213999692350626,0.0005982100265100598
Hydrolight100.nc,355.0,0.010839000344276428,0.0033730000723153353,0.006586899980902672,0.0010284000309184194,0.00044535999768413603,0.0005829799920320511
Hydrolight100.nc,360.0,0.010836999863386154,0.003152000019326806,0.006234399974346161,0.0010074999881908298,0.0004391400143504143,0.0005683500203303993
Hydrolight100.nc,365.0,0.010683000087738037,0.003473999910056591,0.005902099888771772,0.0009820000268518925,0.0004277499974705279,0.0005542699946090579
Hydrolight100.nc,370.0,0.010746000334620476,0.0032430000137537718,0.005598700139671564,0.0009628999978303909,0.0004221299896016717,0.0005407399730756879
Hydrolight100.nc,375.0,0.010800999589264393,0.00317799998447299,0.005314799956977367,0.0009428000194020569,0.0004150999884586781,0.0005277100135572255
Hydrolight100.nc,380.0,0.010750999674201012,0.0033909999765455723,0.005047599785029888,0.0009206000249832869,0.0004055199970025569,0.0005151599762029946
Hydrolight100.nc,385.0,0.010737000033259392,0.003350999904796481,0.004800799768418074,0.000901699997484684,0.000398689997382462,0.0005030499887652695
Hydrolight100.nc,390.0,0.010727999731898308,0.003317000111564994,0.004570300225168467,0.0008833999745547771,0.00039200999890454113,0.0004914000164717436
Hydrolight100.nc,395.0,0.010661999695003033,0.0033179998863488436,0.004354400094598532,0.0008653000113554299,0.00038517999928444624,0.0004801499890163541
Hydrolight100.nc,400.0,0.010583000257611275,0.003350999904796481,0.004152100067585707,0.0008474999922327697,0.0003782199928537011,0.0004692999937105924
Hydrolight100.nc,405.0,0.01044199988245964,0.0034050000831484795,0.0039622001349925995,0.0008299999753944576,0.0003712399920914322,0.00045881999540142715
Hydrolight100.nc,410.0,0.01028599962592125,0.0034839999862015247,0.0037839000578969717,0.0008129000198096037,0.00036418999661691487,0.0004486899997573346
Hydrolight100.nc,415.0,0.010130999609827995,0.0035550000611692667,0.003616499947384,0.0007963000098243356,0.00035737999132834375,0.0004389100067783147
Hydrolight100.nc,420.0,0.010010000318288803,0.003621000098064542,0.0034590999130159616,0.0007802000036463141,0.00035079001099802554,0.0004294599930290133
Hydrolight100.nc,425.0,0.009743999689817429,0.0036520001012831926,0.0033114999532699585,0.0007651000050827861,0.00034471999970264733,0.00042031999328173697
Hydrolight100.nc,430.0,0.009484799578785896,0.0037330000195652246,0.0031719000544399023,0.0007498000049963593,0.00033827999141067266,0.0004114799958188087
Hydrolight100.nc,435.0,0.009147300384938717,0.0037819999270141125,0.0030406001023948193,0.0007353000110015273,0.0003323199925944209,0.0004029299889225513
Hydrolight100.nc,440.0,0.008533299900591373,0.003711000084877014,0.0029178999830037355,0.0007223000284284353,0.0003276999923400581,0.0003946300130337477
Hydrolight100.nc,445.0,0.00794379971921444,0.0035719999577850103,0.0028027999214828014,0.0007104999967850745,0.0003238900098949671,0.0003866199986077845
Hydrolight100.nc,450.0,0.007196499966084957,0.003418999956920743,0.0026942999102175236,0.0006992000271566212,0.00032036000629886985,0.00037885000347159803
Hydrolight100.nc,455.0,0.006953999865800142,0.003312000073492527,0.002591300057247281,0.0006877999985590577,0.00031649001175537705,0.000371300004189834
Hydrolight100.nc,460.0,0.0067922999151051044,0.003212000010535121,0.002493900014087558,0.0006766999722458422,0.00031266998848877847,0.00036400998942553997
Hydrolight100.nc,465.0,0.006589100230485201,0.0030900000128895044,0.0024017998948693275,0.0006661000079475343,0.00030919001437723637,0.00035692000528797507
Hydrolight100.nc,470.0,0.0063367001712322235,0.002956999931484461,0.002314700046554208,0.0006559999892488122,0.0003059399896301329,0.00035004998790100217
Hydrolight100.nc,475.0,0.0059922002255916595,0.002831999910995364,0.0022321001160889864,0.0006460999720729887,0.0003027099883183837,0.0003433900128584355
Hydrolight100.nc,480.0,0.005522099789232016,0.0027290000580251217,0.002153600100427866,0.0006363000138662755,0.0002993700036313385,0.00033690998679958284
Hydrolight100.nc,485.0,0.005200500134378672,0.0026030000299215317,0.0020791999995708466,0.0006270000012591481,0.0002963599981740117,0.00033062000875361264
