wmo,filename,cycle,lat_x,lon_x,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time,Bnw,Bnw_std,Bnw_lsig,Bnw_hsig,beta,aph,bbp_first3_mean,rrs700,wl_selected_nm,granule,dist_km,lat_y,lon_y,source_file
1902370,1902370QC.nc,28,5.898,165.981,2024-12-14 04:27:59.999996928+00:00,29.545721592544705,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20241214T013518.L2.OC_AOP.V3_0.nc,0.8079100472837961,2024-12-14 01:37:48+00:00,0.0011824986431747,0.0002378168719587,3.8541038520634174e-05,4.0710088796913624e-05,1.9126436710357664,0.0077412500977516,0.0007106666666666,6.500072777271271e-05,699.0,ExpBricaud,1.9090426968687129,5.899624586105347,165.9837646484375,Argo_1902370_028_fits.npz
1902370,1902370QC.nc,34,5.828,167.535,2025-02-12 21:38:00.000005120+00:00,35.40181836064746,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20250213T023006.L2.OC_AOP.V3_0.nc,4.355696794417756,2025-02-13 02:32:35.500000+00:00,0.0010135842021554,0.0002869587624445,8.3856750279665e-05,8.697900921106339e-05,1.655924916267395,0.0145092690363526,0.0003826666666666,-0.0001609995961189,699.0,ExpBricaud,12.943423039096096,5.793980598449707,167.45582580566406,Argo_1902370_034_fits.npz
1902371,1902371QC.nc,0,51.955,-142.958,2024-05-11 02:31:59.999999488+00:00,22.702201966968484,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.2843360630494,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.0015129999999999,0.000229001045227,699.0,ExpBricaud,359.9411816173115,50.92667770385742,-138.02589416503906,Argo_1902371_000_fits.npz
1902371,1902371QC.nc,1,51.953,-142.962,2024-05-11 03:33:00.000002560+00:00,13.417189685919896,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.471545338784,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.001453,0.000229001045227,699.0,ExpBricaud,360.1803201014866,50.92667770385742,-138.02589416503906,Argo_1902371_001_fits.npz
1902371,1902371QC.nc,2,51.953,-142.968,2024-05-11 04:33:59.999995904+00:00,4.611542022291182,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,351.86060879008005,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.0014349999999999,0.000229001045227,699.0,ExpBricaud,360.5830661352193,50.92667770385742,-138.02589416503906,Argo_1902371_002_fits.npz
1902371,1902371QC.nc,3,51.953,-142.973,2024-05-11 05:32:59.999995904+00:00,-3.4442826882915227,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.18487505304995,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.001407,0.000229001045227,699.0,ExpBricaud,360.9187055995977,50.92667770385742,-138.02589416503906,Argo_1902371_003_fits.npz
1902371,1902371QC.nc,4,51.956,-142.975,2024-05-11 06:31:00+00:00,-10.121253116170143,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.42242716755493,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.0013513333333333,0.000229001045227,699.0,ExpBricaud,361.0968221198615,50.92667770385742,-138.02589416503906,Argo_1902371_004_fits.npz
1902371,1902371QC.nc,5,51.96,-142.974,2024-05-11 07:29:00.000003584+00:00,-15.346293882918683,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.50184113337974,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.0013896666666666,0.000229001045227,699.0,ExpBricaud,361.0886552987623,50.92667770385742,-138.02589416503906,Argo_1902371_005_fits.npz
1902371,1902371QC.nc,6,51.963,-142.971,2024-05-11 08:28:00.000003584+00:00,-18.77455102751568,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.4160299562378,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.00136,0.000229001045227,699.0,ExpBricaud,360.931950850741,50.92667770385742,-138.02589416503906,Argo_1902371_006_fits.npz
1902371,1902371QC.nc,7,51.962,-142.973,2024-05-11 12:16:00.000003072+00:00,-11.025397970130346,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc_3.0,PACE_OCI.20240510T203409.L2.OC_AOP.V3_0.nc,352.5093684358202,2024-05-10 20:36:38.500000+00:00,0.0032442717347294,0.0005424032569862,7.660267874598503e-05,7.7409902587533e-05,1.902276873588562,0.0244442746043205,0.0014223333333333,0.000229001045227,699.0,ExpBricaud,361.05123549066576,50.92667770385742,-138.02589416503906,Argo_1902371_007_fits.npz
