idx,bbp,bbp_sig,beta,beta_sig,aph,aph_sig,adg,adg_sig,Sdg,Sdg_sig,true_bbp,true_aph,true_adg
0,0.0005585149314618999,5.80558140590199e-05,0.7723381519317627,0.6646644845604897,0.0011630553816940775,0.0017608368362685583,0.013909606318979606,0.0014519494601334714,0.011720203794538975,0.0029504550620913506,0.0004659100086428225,0.003711000084877014,0.010900000110268593
1,0.0007460655474402636,6.212299957848347e-05,1.0902029275894165,0.6502439379692078,0.0028923527542880773,0.001444437545784694,0.011195202998410182,0.0012628135037177244,0.012467416003346443,0.0031192931346595287,0.0007014099974185228,0.004844999872148037,0.007402000017464161
2,0.000500048673462232,6.199115246929726e-05,0.9174394607543945,0.6915214210748672,0.006366192078376089,0.002815895251828687,0.019613876590563288,0.002633708717986948,0.013988609425723553,0.003678926732391119,0.0004002499917987734,0.005047000013291836,0.01858999952673912
3,0.0004894721897613464,5.653189276264996e-05,1.0795105695724487,0.6815247535705566,0.004465508007729817,0.0022888168871525987,0.015346776049549128,0.002013482997562468,0.014071844518184662,0.0036094486713409424,0.0003943699994124472,0.005923999939113855,0.014264999888837337
4,0.000975619477900152,6.642718037358367e-05,1.2543652057647705,0.5799770355224609,0.009312502052038108,0.0018943789815757126,0.012811545502488973,0.001845477501196232,0.014323041774332523,0.0035031577572226524,0.0010601100511848927,0.008553000167012215,0.01282699964940548
5,0.00040894308102078686,7.244297878597594e-05,1.0627955198287964,0.7114527970552444,0.003734699051996683,0.0057815884343301385,0.04234437906034662,0.006765203127136216,0.012263525277376175,0.0029994770884513855,0.0003399600100237876,0.009171999990940094,0.040539998561143875
6,0.0005006128478700913,5.3788338505775094e-05,0.8774052858352661,0.6683063060045242,0.002930301244888822,0.0011718995723303707,0.008504982675589282,0.0009176314423421663,0.01325676403939724,0.0034692473709583282,0.00047540999366901815,0.004031000193208456,0.0069240001030266285
7,0.0007091234317057916,6.285239020727726e-05,0.9143489599227905,0.674402505159378,0.003907306325913998,0.0017035303818995699,0.012799046448981367,0.001502111188322391,0.01311808917671442,0.003337129484862089,0.0007702099974267185,0.006006000097841024,0.01097199972718954
8,0.0013326871273600365,7.667160170158932e-05,0.8286388516426086,0.5776233524084091,0.006544255873539062,0.0025657729996939015,0.021048566216651566,0.0030663839979382605,0.013921529985964298,0.003338303416967392,0.001459109946154058,0.008603000082075596,0.019675999879837036
9,0.0006042535965106708,7.376162516820674e-05,0.6340640783309937,0.644628256559372,0.0014377547232876336,0.0044536475925198785,0.04024033466129153,0.005944265973729181,0.011070637963712215,0.0018802909180521965,0.0005223099724389613,0.009607000276446342,0.03146100044250488
