wmo,profile,lat,lon,bnw,bbp700_first3_mean,rel_dbbp
1902368,13,56.348,-147.356,0.0014665599446743,0.0013453333333333,0.08266052252499136
1902369,4,45.006,-133.357,0.0005008206353522,0.0007126666666666,-0.4229978087173268
1902369,5,45.02,-133.356,0.0004746729391627,0.000683,-0.4388854801893253
1902369,6,45.02,-133.354,0.0004746729391627,0.0007053333333333,-0.4859354202442501
1902369,7,45.038,-133.348,0.0006027951021678,0.0006923333333333,-0.14853841851650498
1902369,25,45.367,-132.841,0.0081796590238809,0.000911,0.8886261643253963
1902369,27,45.161,-132.562,0.0033364375121891,0.006601,-0.978457554167996
1902369,32,44.734,-131.99,0.0041532875038683,0.0008703333333333,0.790447125915871
1902369,33,44.703,-131.969,0.0009202256915159,0.001148,-0.24752004924887971
1902370,16,5.055,160.529,0.0008081672131083,0.0003413333333333,0.5776451608071373
1902370,28,5.898,165.981,0.0011824986431747,0.0007106666666666,0.3990127001256885
1902370,34,5.828,167.53499999999997,0.0010135842021554,0.0003826666666666,0.6224618873766439
1902371,0,51.955,-142.958,0.0032442717347294,0.0015129999999999,0.5336395580544374
1902371,1,51.953,-142.962,0.0032442717347294,0.001453,0.5521336932273977
1902371,2,51.953,-142.968,0.0032442717347294,0.0014349999999999,0.557681933779326
1902371,3,51.953,-142.973,0.0032442717347294,0.001407,0.5663125301933576
1902371,4,51.956,-142.975,0.0032442717347294,0.0013513333333333,0.5834709778260875
1902371,5,51.96,-142.974,0.0032442717347294,0.0013896666666666,0.5716552803544644
1902371,6,51.963,-142.971,0.0032442717347294,0.00136,0.580799602745534
1902371,7,51.962,-142.973,0.0032442717347294,0.0014223333333333,0.5615862512047146
1902371,8,51.957,-142.978,0.0032442717347294,0.0011976666666666,0.6308365129080362
1902372,13,0.35,93.043,0.0024070518556982,0.0006856666666666,0.7151425445848101
1902380,81,17.269,-44.988,0.0018035693792626,0.0004603333333333,0.7447653865572335
1902380,84,18.394,-44.495000000000005,0.0025555172469466,0.0004523333333333,0.8229973466726708
1902380,93,18.572,-42.78699999999998,0.0014598085545003,0.0005513333333333,0.6223249058010732
1902380,94,18.677,-42.742999999999995,0.0003547786909621,0.0005026666666666,-0.4168457110641361
1902380,95,18.753,-42.778999999999996,0.0003599514311645,0.00045,-0.25016866454504316
1902380,96,18.806,-42.685,0.002841024659574,0.0005723333333333,0.7985468618145964
1902380,98,18.774,-41.93799999999999,0.001456988742575,0.000434,0.7021253580635272
1902380,100,18.611,-41.692999999999984,0.0006098325829952,0.000572,0.062037654349960766
1902380,112,18.11,-42.64499999999998,0.001661370974034,0.0004793333333333,0.7114832624230677
1902380,114,17.827,-42.579999999999984,0.0021218236070126,0.000504,0.7624684736590325
1902380,116,18.235,-42.77600000000001,0.0015992015833035,0.0005333333333333,0.6665002468096715
1902380,117,18.466,-43.15899999999999,0.0006540319300256,0.000451,0.3104312201051911
1902380,118,18.66,-43.49400000000003,0.0010006116935983,0.0004536666666666,0.546610668684903
1902381,81,16.511,-33.52999999999997,0.0017920249374583,0.0005673333333333,0.6834121437294443
1902381,94,17.077,-34.41699999999997,5.237756340648048e-06,0.00062,-1.0
1902381,98,17.564,-34.41500000000002,0.0009629848646,0.0007076666666666,0.26513209845665936
1902382,94,19.015,-30.153999999999996,0.0008289508987218,0.0007176666666666,0.13424707329082405
1902382,98,19.109,-31.202999999999975,0.0014362834626808,0.0006889999999999,0.5202896796472943
1902382,111,20.086,-32.50400000000002,0.0017125942977145,0.000619,0.6385600484445901
1902382,113,19.997,-32.218999999999994,0.0021513057872653,0.000592,0.7248182924508656
1902382,114,19.829,-32.09699999999998,0.0024459511041641,0.0005736666666666,0.7654627413892439
1902382,115,19.563,-31.92500000000001,0.0022118752822279,0.0006129999999999,0.7228596002110667
1902384,81,20.736,-41.61099999999999,0.0010105512337759,0.0004323333333333,0.5721806882389356
1902384,84,20.254,-41.01799999999997,0.0012260176008567,0.0005196666666666,0.5761344157673802
1902384,91,20.106,-42.43099999999998,0.0002186172787332,0.0005143333333333,-1.0
1902384,92,20.079,-42.58100000000002,0.001009845174849,0.000463,0.5415138760560683
1902384,93,20.052,-42.759000000000015,0.0018032960360869,0.000492,0.7271662610274319
1902384,94,19.908,-42.93099999999998,0.0013435687869787,0.000542,0.5965967613621017
1902384,95,19.62,-43.048,0.0014518364332616,0.000501,0.6549198046542429
1902384,96,19.385,-43.041,0.0009689224534668,0.000498,0.4860269795398401
1902384,97,19.27,-42.77999999999997,0.0010396135039627,0.000497,0.5219377219461052
1902384,100,19.188,-41.66699999999997,0.0015693565364927,0.000511,0.6743888414661872
1902384,112,19.344,-41.05500000000001,0.0024405939038842,0.000556,0.7721865980591334
1902385,80,24.994,-55.40499999999997,0.0006731910980306,0.0004109999999999,0.389474992758716
1902385,82,25.584,-56.418000000000006,0.0009749325690791,0.0004796666666666,0.5080001613653315
1902385,84,26.777,-57.115999999999985,0.0009449670324102,0.0005173333333333,0.45253822028710605
1902385,90,25.544,-58.12099999999998,0.0003523727355059,0.0004823333333333,-0.3688157020457788
1902385,92,25.143,-58.93599999999998,0.0011698745656758,0.0004573333333333,0.6090748984963932
1902385,93,24.86,-59.285000000000025,0.0008710545371286,0.0006306666666666,0.2759733865280468
1902385,94,24.662,-59.519000000000005,0.0006449017091654,0.0004233333333333,0.3435692178872388
1902385,95,24.691,-59.668000000000006,0.0013539808569476,0.0004309999999999,0.6816793990931734
1902385,97,25.238,-59.95600000000002,0.0028947608079761,0.00043,0.8514557752698613
1902385,102,26.394,-60.83600000000001,0.0020868552383035,0.0005706666666666,0.7265422842024629
