wmo,profile,lat,lon,giop_bbp_700,bbp700_first3_mean,rel_dbbp_giop
1902368,13,56.348,-147.356,0.00148122664541,0.0013453333333333,0.0917437668960411
1902369,4,45.006,-133.357,0.0004788979131262,0.0007126666666666,-0.4881390107014244
1902369,5,45.02,-133.356,0.0004768059588968,0.000683,-0.4324485406606018
1902369,6,45.02,-133.354,0.0004768059588968,0.0007053333333333,-0.47928800001839444
1902369,7,45.038,-133.348,0.0005355575704015,0.0006923333333333,-0.2927337257398256
1902369,25,45.367,-132.841,0.0048486436717212,0.000911,0.8121124046889162
1902369,27,45.161,-132.562,0.0021054148674011,0.006601,-1.0
1902369,32,44.734,-131.99,0.0025472985580563,0.0008703333333333,0.6583308499191385
1902369,33,44.703,-131.969,0.000740913732443,0.001148,-0.5494381460777121
1902370,16,5.055,160.529,0.0005965775926597,0.0003413333333333,0.42784754651688117
1902370,28,5.898,165.981,0.0008880070527084,0.0007106666666666,0.19970605582570117
1902370,34,5.828,167.53499999999997,0.0009310244931839,0.0003826666666666,0.5889832442990154
1902371,0,51.955,-142.958,0.0022663499694317,0.0015129999999999,0.33240672428923523
1902371,1,51.953,-142.962,0.0022663499694317,0.001453,0.35888101149517165
1902371,2,51.953,-142.968,0.0022663499694317,0.0014349999999999,0.36682329765701
1902371,3,51.953,-142.973,0.0022663499694317,0.001407,0.3791779650197567
1902371,4,51.956,-142.975,0.0022663499694317,0.0013513333333333,0.40374022037198676
1902371,5,51.96,-142.974,0.0022663499694317,0.0013896666666666,0.38682609243484717
1902371,6,51.963,-142.971,0.0022663499694317,0.00136,0.3999161566644414
1902371,7,51.962,-142.973,0.0022663499694317,0.0014223333333333,0.37241231384490975
1902371,8,51.957,-142.978,0.0022663499694317,0.0011976666666666,0.4715438114939849
1902372,13,0.35,93.043,0.0016778047429397,0.0006856666666666,0.5913310714182175
1902380,81,17.269,-44.988,0.000799968431238,0.0004603333333333,0.42456062594756894
1902380,84,18.394,-44.495000000000005,0.0017227320931851,0.0004523333333333,0.7374325728749869
1902380,93,18.572,-42.78699999999998,0.0009550396935082,0.0005513333333333,0.4227116034224119
1902380,94,18.677,-42.742999999999995,0.0003471718810033,0.0005026666666666,-0.4478899190047651
1902380,95,18.753,-42.778999999999996,0.000327311019646,0.00045,-0.37483913767001503
1902380,96,18.806,-42.685,0.0017540012486279,0.0005723333333333,0.6736984458927733
1902380,98,18.774,-41.93799999999999,0.0010518439812585,0.000434,0.5873912788085436
1902380,100,18.611,-41.692999999999984,0.0005286285304464,0.000572,-0.08204526819045321
1902380,112,18.11,-42.64499999999998,0.0011538906255736,0.0004793333333333,0.5845937884320509
1902380,114,17.827,-42.579999999999984,0.000860366038978,0.000504,0.41420281930388053
1902380,116,18.235,-42.77600000000001,0.0011671319371089,0.0005333333333333,0.5430393802311513
1902380,117,18.466,-43.15899999999999,0.0005894235218875,0.000451,0.23484560209648384
1902380,118,18.66,-43.49400000000003,0.000789163110312,0.0004536666666666,0.42512940514003456
1902381,81,16.511,-33.52999999999997,0.0008812359301373,0.0005673333333333,0.35620721542197303
1902381,98,17.564,-34.41500000000002,0.0008211339008994,0.0007076666666666,0.1381835947931485
1902382,94,19.015,-30.153999999999996,0.000601774896495,0.0007176666666666,-0.1925832580365255
1902382,98,19.109,-31.202999999999975,0.0009503119508735,0.0006889999999999,0.27497491811337255
1902382,111,20.086,-32.50400000000002,0.0010907324030995,0.000619,0.4324914174723268
1902382,113,19.997,-32.218999999999994,0.001233366318047,0.000592,0.5200128369506516
1902382,114,19.829,-32.09699999999998,0.0012050585355609,0.0005736666666666,0.5239512025865332
1902382,115,19.563,-31.92500000000001,0.0016808186192065,0.0006129999999999,0.6352967577850297
1902384,81,20.736,-41.61099999999999,0.0007605273858644,0.0004323333333333,0.43153482521616404
1902384,84,20.254,-41.01799999999997,0.0009160779882222,0.0005196666666666,0.432726609144819
1902384,91,20.106,-42.43099999999998,0.0002417455980321,0.0005143333333333,-1.0
1902384,92,20.079,-42.58100000000002,0.0007056989707052,0.000463,0.34391288747760623
1902384,93,20.052,-42.759000000000015,0.0011175259714946,0.000492,0.5597417755383437
1902384,94,19.908,-42.93099999999998,0.0009074143017642,0.000542,0.40269841576638093
1902384,95,19.62,-43.048,0.0010510471183806,0.000501,0.5233325021889453
1902384,96,19.385,-43.041,0.0008012063335627,0.000498,0.37843726498571423
