# Gordon coefficients fitted from Loisel23 Hydrolight simulations
# Source: Loisel et al. (2023) synthetic dataset
# Standard G1: 0.0949
# Standard G2: 0.0794
#
wavelength,G1,G2,G1_err,G2_err,rRMS,RMS
350.0,0.1012326629187463,0.04995752476130441,6.56018672679828e-05,0.00033646919238992674,0.021505161949543494,0.0001757440456863473
355.0,0.10099151712423608,0.050958113677385196,6.68375739332148e-05,0.00034210867841318277,0.02190548366476111,0.0001790716173785053
360.0,0.10078426719796708,0.05182994616813842,6.848610590672632e-05,0.000352152053668434,0.022334021921828855,0.00018226108777488645
365.0,0.10056225431820548,0.05275111652946897,6.976699731416594e-05,0.00035950504252680335,0.022690750641102465,0.00018496077848500573
370.0,0.10032652432521622,0.05373085511935536,7.104086607162143e-05,0.0003670931638074684,0.022995651825137325,0.00018755284427823574
375.0,0.10006607044294759,0.054835271437719914,7.170786418988259e-05,0.0003693522851241419,0.023216432461311293,0.00018995462013491468
380.0,0.09981330903003699,0.05587445094509549,7.259514314015722e-05,0.00037412034324349464,0.023431906748253302,0.0001920499905242649
385.0,0.09954998695314685,0.05697925846386172,7.375837536549237e-05,0.0003806949415354371,0.023592447125084664,0.00019423253920156048
390.0,0.09928616988454395,0.05807915749433757,7.471896445353038e-05,0.00038600179150779205,0.02372032452456277,0.00019599829902736354
395.0,0.09907023614249612,0.05899828552480416,7.670970548891737e-05,0.00040092004286816293,0.02395921632639151,0.00019791882302945215
400.0,0.0988687352303961,0.05985849231655117,7.8681606908435e-05,0.0004167044458822197,0.024226420184915734,0.00019954218254186797
405.0,0.09868849885581366,0.06065598241095988,8.177385443122955e-05,0.00044274625725608795,0.024571956926457483,0.00020143261314803555
410.0,0.09851262092643345,0.06146578908650908,8.503965311479542e-05,0.0004713410779365147,0.02495157890972299,0.00020330093929103732
415.0,0.09832896380353327,0.062330692087374955,8.860967229340324e-05,0.0005033780954822093,0.02532625739801991,0.00020530811624695466
420.0,0.0981334091426727,0.06324997644736717,9.163310782898372e-05,0.0005309867044046352,0.025655862809225723,0.00020714673860420784
425.0,0.09793425890973903,0.06429801423936062,9.760878790198072e-05,0.000587238656512713,0.02610137663318149,0.0002098524346569599
