# Gordon coefficients (with bbp slope) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G1·u + G2·u² + Gb·bbp)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G1,G2,Gb,G1_err,G2_err,Gb_err,rRMS,RMS
350.0,0.10211535871290427,0.03954779027800753,-0.02080000957198811,8.39256286552174e-05,0.0005651180826469407,0.0004808500067983211,0.017616325770982197,0.00015528532484299407
355.0,0.10187119437104596,0.04064267442874481,-0.022135669653487882,8.56273179036353e-05,0.0005726098323845615,0.000505272146376075,0.017862639017788826,0.0001573463446607278
360.0,0.1016595734283154,0.04159774474068516,-0.02346609872166345,8.76253540796156e-05,0.000585227969856732,0.000530566356118115,0.01814196305681206,0.00015935323158447476
365.0,0.10143212699833325,0.042609254479802836,-0.024757722015433574,8.92507780090512e-05,0.0005944296140090475,0.0005544897468047742,0.018361844533305232,0.0001610112888945786
370.0,0.10118492733733252,0.04372105292016129,-0.026159140567980636,9.078746028144119e-05,0.0006027185641037798,0.0005789639345108844,0.018511584966528345,0.00016247511906838558
375.0,0.10091445686336427,0.0449530712775048,-0.02752428306643958,9.190496018343472e-05,0.0006054242653393107,0.0006020178005431517,0.01859680395252756,0.0001638502071055959
380.0,0.1006540836559988,0.04610589032303706,-0.029020524005757546,9.305682653542785e-05,0.0006097821580041196,0.0006259476166320303,0.01865624158775353,0.00016485144643983365
385.0,0.10038486067396267,0.04731984579358042,-0.030560557087032442,9.4278672352706e-05,0.0006138963034932753,0.0006505756813444806,0.01867535888414703,0.00016588132432028752
390.0,0.10011913481088189,0.04849994090828533,-0.032056952181437566,9.533242757647797e-05,0.0006171387027832983,0.0006751045481606588,0.018691546374886483,0.00016661160059697216
395.0,0.09989997566586345,0.049492641045564376,-0.03355787731198155,9.710620370209008e-05,0.0006306859316396631,0.000701474652402578,0.018804668398111006,0.00016755701717799753
400.0,0.0996979544299703,0.050402982796842175,-0.03500118880106136,9.892701755320486e-05,0.0006464564445951768,0.0007275051930573221,0.018951023731001007,0.00016837286211420643
405.0,0.0995201866820556,0.05122421713943357,-0.03640630954854181,0.00010140840074175552,0.0006714329143678356,0.0007546795030641771,0.019172152421107667,0.00016951714466916486
410.0,0.09934877530961322,0.052031974538861825,-0.037637264296151496,0.00010414829519041288,0.0007003601004650662,0.0007816467919323667,0.01946414555961603,0.00017086145043948526
415.0,0.09918408218432993,0.052814378562564754,-0.03903728437407031,0.00010704533475587364,0.0007315662291820479,0.0008103517912502086,0.019729812371604,0.00017219057653283172
420.0,0.09900384722033106,0.05366831305621395,-0.04032313196858756,0.00010966488982655986,0.0007594780514739866,0.0008383791051539837,0.01999481756824965,0.0001734434320950282
425.0,0.09885681863918504,0.05441548997725135,-0.041853600077635306,0.00011404724357693934,0.0008099992442773327,0.0008732884367583482,0.020369782964439465,0.00017532184144042478
430.0,0.09871212465721232,0.05514894914487399,-0.04319033865114813,0.0001183285529418963,0.0008611396967546919,0.0009062888024253044,0.02077167626789656,0.00017711694983111226
435.0,0.0985844990942523,0.0558381294011553,-0.044418462695226923,0.00012417750950005516,0.0009344664892298077,0.000943411976031282,0.021347425115064263,0.00017950459709287664
440.0,0.09852782738617101,0.0562233114027084,-0.04650973643036937,0.0001347944844301521,0.0010725159577589564,0.0010008328417925071,0.022150127440139868,0.0001827643173938622
445.0,0.09850301151506224,0.05626788246811919,-0.049305077187597295,0.00014675566088465108,0.0012309984334053575,0.0010676992600715056,0.022922257186644732,0.00018504522998936116
450.0,0.09866499473181124,0.05480245016770363,-0.05342001644161526,0.00016344378752572891,0.0014675648056173358,0.0011529734509741075,0.023931885836250874,0.00018597763508178817
455.0,0.09865105365787526,0.05419787263166378,-0.05656598127105006,0.00017003863293259066,0.0015552924085993317,0.0012058902318100877,0.024203407379278452,0.00018545067363396828
460.0,0.09861175054786567,0.05371045940115398,-0.05955530853918426,0.00017423323258349162,0.001608598630509922,0.001250486609543726,0.024279143247490666,0.00018444028726539354
465.0,0.09866655220370486,0.052398253333085856,-0.06338997203226482,0.00017903689657647171,0.0016732149755060636,0.0013006600415314184,0.024298393732213437,0.0001826542361529324
470.0,0.0988319238564344,0.05003290301134613,-0.0681371214256832,0.00018515321104465722,0.0017597373377730265,0.0013585465229518383,0.02434728697504691,0.00018007626656092995
475.0,0.09923706483947296,0.045289225056712484,-0.07439887980854765,0.00019369913681693013,0.0018945096268716333,0.0014262298212286344,0.024534900190747673,0.000175997781433611
480.0,0.10002293513576932,0.036188203085832024,-0.08215306015018792,0.0002057961047600508,0.002115747125180073,0.001497069937281913,0.025029357373716195,0.00016951002951778773
485.0,0.1007302870768843,0.027178977802585106,-0.08897761601849098,0.0002136953426845738,0.002280726294743115,0.0015476082999461979,0.0253139838689152,0.00016303147242712965
490.0,0.1018290319996705,0.012592426738987037,-0.09696920569599174,0.00022168701622907752,0.002497138929372181,0.0015844656766456522,0.0256146975075374,0.00015344774587281482
495.0,0.10352645579630654,-0.012138474754094141,-0.10597528240147626,0.00022707442312431427,0.002772857288331597,0.0015877875383641005,0.025726662011113642,0.0001388870409497595
500.0,0.10553119442301666,-0.04624199871445817,-0.11394720950647035,0.00022259087142667092,0.003005843981321396,0.0015437573778484313,0.024837744053158688,0.00012140960447634122
505.0,0.1077201729858696,-0.09660869347578525,-0.11566127512072347,0.0002061485746612058,0.0032630001073883394,0.001448519061974003,0.023036187155185968,0.00010244803528586043
510.0,0.10902386417153626,-0.14995506493980126,-0.1084049453309483,0.00018273794349765358,0.0035209044307175194,0.0013961239321555103,0.02100268002684776,8.996645481453762e-05
515.0,0.10921500269169583,-0.19089770697331584,-0.09757325532286695,0.0001646450976094422,0.0038509520797153584,0.0014531371751112482,0.020067955461692762,8.486277703361517e-05
520.0,0.10862271479199889,-0.1904548320589153,-0.09416764334398886,0.0001583843770140223,0.003919558982252931,0.001585482765615119,0.020130798321226016,8.814844756434672e-05
525.0,0.107960055312952,-0.18603637280595667,-0.09128351898388422,0.00015380771481428562,0.003997214353945474,0.0017500019406683593,0.020424209604744836,9.22021181037018e-05
530.0,0.10733948002691411,-0.1863765405868499,-0.08732463993193922,0.00014944667960023448,0.004187795419838045,0.001943736159448023,0.020878824862941604,9.514368837083042e-05
535.0,0.10671271568988962,-0.1863361518481556,-0.08364936625040818,0.00014541306646317378,0.004420090644119101,0.002164071412958317,0.021437786159097007,9.750163165055394e-05
540.0,0.1060706115903062,-0.18570822603272163,-0.08126552353063479,0.00014144672897230834,0.004755613698927938,0.00244374798501099,0.02207120087204752,9.881807256376179e-05
545.0,0.10542987056521497,-0.18770514509771075,-0.079941035120169,0.00013631539442852491,0.0052899514542701555,0.002773966648401493,0.022835713352394024,9.817715511253892e-05
550.0,0.1047484856103654,-0.1855008666754689,-0.08318023200159778,0.00012970056025342694,0.006117423467294171,0.003202021735772959,0.023739487004974955,9.621307352026798e-05
555.0,0.10414281442869767,-0.17099656144570036,-0.09077811386442937,0.00012451777355074485,0.0067497649417392665,0.003615085686072546,0.02445630335252441,9.588958072588e-05
560.0,0.10363118274364296,-0.14867287190800776,-0.10285645745841913,0.00011998588634702305,0.007341546626248966,0.00404488439709253,0.0250657586360309,9.60856196770066e-05
565.0,0.10325877222867147,-0.12423655291857111,-0.11709190240230395,0.00011621128327561312,0.00787635068246826,0.004395172216303576,0.025562605568850604,9.553735477087624e-05
570.0,0.10314516786628894,-0.09000752688521402,-0.13873902175824057,0.00011244242543279006,0.008683833888304232,0.004635479506564686,0.025966513470550352,9.132355738075332e-05
575.0,0.10341894616760246,-0.04184157191104158,-0.16498161989435828,0.00011118045493944148,0.00968971030257389,0.0046998966641526915,0.026135517442354764,8.413506774419299e-05
580.0,0.10432724884950913,0.03746058017950846,-0.19540592334100523,0.00011353731471623482,0.010790018094918351,0.004422133494708665,0.025939632910819976,7.36363301084058e-05
585.0,0.10619597966564442,0.16533482096512114,-0.22100227567053432,0.00011683490746903351,0.011538520221676658,0.003634228728870642,0.02444347791394952,5.937190793051778e-05
590.0,0.10840588802607297,0.29894064890454614,-0.22629978461898684,0.00011298520433070061,0.01117831558143697,0.0026568122960858244,0.020788742675002102,4.537195366392749e-05
595.0,0.11047710268576767,0.40201182859845014,-0.2100429516813796,9.871755598120199e-05,0.009802099591207215,0.0017150535771643211,0.015669687526333482,3.185631982791601e-05
600.0,0.11212972751773614,0.4612934474458965,-0.1689854884736566,7.599965778350142e-05,0.008104209082808395,0.0009057644035862745,0.010555115115161835,1.8512530294698576e-05
605.0,0.11270500120683406,0.46991580174336284,-0.14772925208944668,6.533722394427465e-05,0.007250199746493691,0.0006378857869560746,0.00857786135713194,1.3583242652881021e-05
610.0,0.112821836229979,0.469938414205302,-0.1440804897348235,6.497663832131668e-05,0.007156227261647981,0.0006026599561044844,0.008392634264569565,1.2896324806197825e-05
615.0,0.11291195967612963,0.4719591732899414,-0.14240559119344862,6.497458163591106e-05,0.007069246887866811,0.0005819643342438156,0.008235939648949296,1.2400560992272823e-05
620.0,0.11299828592841225,0.47281227617473015,-0.13835843978676576,6.503643910097836e-05,0.007073997667247791,0.0005534658744600646,0.008134162508246053,1.1817360770009568e-05
625.0,0.11309588082492503,0.4717179752913323,-0.1344959100581296,6.444532434200061e-05,0.006986158393525668,0.0005209491939441776,0.00793768638336205,1.1170117966601116e-05
630.0,0.11318950692549978,0.4734285077297371,-0.13076691611610441,6.378475606473762e-05,0.006920294333125276,0.0004905973207762988,0.007713609258824788,1.0463957759951129e-05
635.0,0.11327255243164856,0.4738890592598451,-0.12656068707406773,6.319861300611553e-05,0.006882766988254285,0.0004608559501063545,0.007519688472888989,9.800163807304382e-06
