# Gordon coefficients (with constant) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G0 + G1·u + G2·u²)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G0,G1,G2,G0_err,G1_err,G2_err,rRMS,RMS
350.0,-7.422989442099111e-05,0.10211710445460222,0.04127399191122033,4.140456205256654e-06,0.00014116229457659073,0.0007956809892383392,0.020492048833125494,0.0001733776843611117
355.0,-7.935554152561759e-05,0.10189998830724045,0.04232945094736285,4.365832113724664e-06,0.00014567255134324638,0.0008124401280407159,0.02082342190405186,0.0001767314688875415
360.0,-8.378432791175322e-05,0.10170478547618715,0.04330395230904271,4.586013678507654e-06,0.0001507549485218558,0.0008368016596434539,0.021193181123644992,0.00017998211428947808
365.0,-8.833653535822984e-05,0.10150329509271265,0.044282050956402384,4.791726071818322e-06,0.00015522060695481442,0.0008563317723791453,0.021486703700130262,0.00018272450068072344
370.0,-9.413830550249629e-05,0.10129950998745776,0.04529995094926809,5.023636726169537e-06,0.00015987345092305293,0.0008756825754957731,0.021703908954882476,0.00018534639643385612
375.0,-0.00010035947380590147,0.1010823523269694,0.04637998418872602,5.253385296390114e-06,0.0001637329857190635,0.0008865544075875665,0.021842158369893817,0.0001877426828482765
380.0,-0.00010677532160121516,0.10087101085587367,0.04741871211433634,5.4950356920375585e-06,0.00016803584713721912,0.0009014979341086634,0.021972355617579563,0.00018985049512083805
385.0,-0.00011379962249319719,0.1006559062749167,0.048501992788999936,5.762631894504159e-06,0.0001726209719310752,0.000916644042075744,0.022049175257280944,0.0001920203206610922
390.0,-0.00011954043470978078,0.10042290908809305,0.04963241159189385,6.000684245232961e-06,0.00017657237804547153,0.0009292730712514858,0.022115361205297886,0.0001938300382905699
395.0,-0.00012439644641037148,0.10022567614327575,0.050646634921752594,6.244165597202563e-06,0.00018212740798407813,0.0009585067874097627,0.022296148100861744,0.00019581336978289907
400.0,-0.00012721718871307996,0.1000112164347203,0.0517256797614379,6.436518468249988e-06,0.00018728670914404781,0.0009897382259884343,0.022524237860370402,0.00019762890608379216
405.0,-0.00012950468170528756,0.09981774732764358,0.0527573649258745,6.636683086466663e-06,0.00019396533006368715,0.0010362879404972726,0.02283154402667999,0.00019966644848160134
410.0,-0.00012921396021631728,0.09958759744375678,0.05396718162409533,6.790367061070777e-06,0.00020046290246908017,0.001086738708317179,0.02320959525580864,0.00020183601522600104
415.0,-0.00012997186247449486,0.09937401510806068,0.05514531743076199,6.982521065754148e-06,0.00020789903302735323,0.001143451362669135,0.02357785636899927,0.00020402832528568237
420.0,-0.0001298677027454508,0.09913232609231938,0.056438820799685756,7.148744934109141e-06,0.00021422490352108803,0.0011925381155613803,0.023917607021705558,0.00020613907197648335
425.0,-0.0001298926837953533,0.09890324260701129,0.057855306137392586,7.409350830860431e-06,0.00022515206833369238,0.0012823998988825713,0.02439111687996729,0.00020893878497930179
430.0,-0.0001279378751098911,0.09864413993413526,0.05942357752989016,7.608531533752288e-06,0.00023522827664835026,0.0013713176538022482,0.024888045642407503,0.00021146302703514995
435.0,-0.00012442214130700945,0.09836279650974696,0.061275268880409364,7.828845893937792e-06,0.000248221345088592,0.001494749362648603,0.0255262653600157,0.0002144302042610328
440.0,-0.00012331003564216482,0.0981077193046015,0.06357040256943276,8.375634002503602e-06,0.00027445184626563314,0.0017390116081336864,0.02642338462316839,0.00021868381503337963
445.0,-0.00012629113438119966,0.09791522229224105,0.06566853264035963,9.170643959066992e-06,0.00030728255288313996,0.0020365147977328244,0.02727117960216845,0.0002225611658677867
450.0,-0.00013380253243213463,0.09790146278962446,0.06706797956948309,1.0404377910621325e-05,0.00035850029874603305,0.00251278085908539,0.028415391194013217,0.0002262057594734669
455.0,-0.00014066332169344442,0.09783784527936586,0.06758340090585033,1.1185271902681033e-05,0.0003845692093588012,0.002726055089533613,0.02881228185157908,0.0002278082427764673
460.0,-0.0001472285546355011,0.09777348792268037,0.06784381224291197,1.1857078434395213e-05,0.00040532102198345053,0.0028832161994598836,0.029042892225799085,0.00022875135948887022
465.0,-0.00015745061918891808,0.09784613083911256,0.06720249928234996,1.2756444791354067e-05,0.00043307728938661886,0.003094175238839077,0.029310934473384006,0.0002295172145351358
470.0,-0.0001719690877106084,0.09808642029423655,0.06539456471069967,1.392871189285698e-05,0.00046932466992300706,0.0033769732547604273,0.029641414063341233,0.00023024832591723692
475.0,-0.00019471899689710886,0.0987141106311428,0.060728706117816826,1.5600149593135913e-05,0.0005239733830308009,0.0038280347069895105,0.030209082094322392,0.00023060756480451048
480.0,-0.00022480389875410736,0.09989854112799744,0.05113384225717488,1.767566771432594e-05,0.0006013930662245219,0.004546637420930536,0.031203347939658333,0.00022982248125661878
485.0,-0.00026158429638493285,0.10138624467465744,0.038180672635856394,1.971390436694572e-05,0.0006737155958855595,0.005205026781312139,0.03189639642316394,0.00022795647259090898
490.0,-0.0003172881524156503,0.10399641751068543,0.013960263506813935,2.235555671273305e-05,0.0007742792880445119,0.006182119452785097,0.03276355811517366,0.000223547669946484
495.0,-0.00040767317253284326,0.10884912480325465,-0.035444306979945724,2.595127259083799e-05,0.0009213411546511355,0.0077214446175004154,0.03371052563327003,0.00021394107567062573
500.0,-0.0005300195663958733,0.11633344162268697,-0.12142251944914602,3.050921070233217e-05,0.0011144691199259668,0.009838248658940226,0.03409137360065321,0.00019804059383341592
505.0,-0.0006167673846157394,0.125662999239019,-0.2628049735982947,3.545405796546808e-05,0.001373798833474605,0.01311846258524656,0.033505243191781976,0.00017208764611288799
510.0,-0.00039879160133382427,0.12391932212848154,-0.3391918343765536,3.751545527449744e-05,0.0015894111097682073,0.016669226334904506,0.031543411290229154,0.00014197236298203896
515.0,0.00011831735927704873,0.1043150742772326,-0.20865757368158958,3.317635499617362e-05,0.0015550987197498903,0.0179473793383791,0.028025630769675212,0.00011012663504014445
520.0,0.00037728199563007544,0.09194426145251028,-0.08161064337312293,2.930838539177639e-05,0.001395594265302662,0.016303566911441546,0.025516710463497495,9.698294075480331e-05
525.0,0.0005682057221593006,0.08221427351553998,0.023979906773744033,2.513426673640644e-05,0.0012100199762748926,0.014240561454479614,0.023030293296064347,8.524261067754387e-05
530.0,0.0006975839732861742,0.07454368729221557,0.10911725656954747,2.011432494416513e-05,0.0009971148550713337,0.01203373380906822,0.02028064770493615,7.206913332934435e-05
535.0,0.0007508335127076698,0.07003225104246438,0.16355971526960594,1.5600664307835737e-05,0.0007995337734489725,0.00993251635593416,0.017736088396341085,6.07509603557899e-05
