bbp_440,sig_bbp_440,aph_440,sig_aph_440,adg_440,sig_adg_440,Sdg,sig_Sdg,beta,sig_beta
0.0007184623735537,0.0001083661918031,0.0030551366508007,0.0015990717010572,0.0074494731921371,0.0015288497073022,0.012555367,0.0030287983827292,0.7249397,0.5977996537089347
0.0009844257965857,0.0001340623872958,0.0036423492711037,0.0010515743633732,0.0048568780594721,0.00100131291809,0.014744738,0.0032904133200645,0.97404647,0.6034967309236524
0.0004534945799698,9.17197880814537e-05,0.0062473150901496,0.002590332836844,0.0107037424507792,0.0024100037649009,0.012553166,0.0030224677175283,0.86156094,0.6535857963562012
0.0006065617196755,0.0001014012476845,0.0044303364120423,0.0022884828271344,0.0089506813616633,0.0022243783410333,0.015501784,0.00354566546157,1.4628984,0.5321020770072937
0.0014023687317607,0.0002062951059641,0.0080591249279677,0.0018564333207905,0.0082974011296417,0.0019511172181388,0.013958192,0.0032395387627184,0.9137987,0.5748835241794586
0.0005641625000534,0.0001379228353243,0.0026260251179337,0.0059194478108111,0.0320449096134933,0.0067368489785879,0.013243568,0.002903131339699,1.2186202,0.64598648250103
0.000729854135648,0.0001085230940156,0.0048098629340529,0.000999441621825,0.0039438872901715,0.0008490814706027,0.014251664,0.0033962132968008,1.1816584,0.6188995134830474
0.0009724551904184,0.0001423803854405,0.005815070355311,0.0015061494428664,0.0065685383562097,0.001447194231871,0.013633502,0.0032651592046022,0.8092277,0.597870831489563
0.0016680181101268,0.0002046144252395,0.0069006169214844,0.0022280898410826,0.0114590005254314,0.0025864054939603,0.012894546,0.002943911422044,0.518331,0.4389312490820884
0.000659424639966,0.0001383417707115,0.0054440812673419,0.0055020750514813,0.0216835553909351,0.0054532557639008,0.012450936,0.0029303212277591,0.9526917,0.6656783223152161
0.0030075013080078,0.000680798142554,0.0284441970288753,0.0103899070620536,0.0384080335370704,0.01558955964173,0.012649025,0.002830301541835,0.87201977,0.6163304299116135
0.0005512719409753,8.919353671580027e-05,0.0045412613544613,0.001188912843354,0.0049675431085841,0.0010373693697804,0.012984874,0.0031578989140689,0.78217876,0.6328908476233482
0.0009364294664079,0.000137677602087,0.0040741572156548,0.0015430467855185,0.0074126335351919,0.0015435150891624,0.013079535,0.0031338043697178,0.7781026,0.6005414873361588
0.0012955227276009,0.0002018967985705,0.0006515275454148,0.0017391173524447,0.015678330500476,0.0021607481988685,0.01086027,0.0013467264361679,0.7369987,0.5783837658166884
0.0010993038144321,0.0001787076778994,0.004508274141699,0.0037954877904849,0.0146573565840392,0.0038416053438572,0.0134952795,0.0034710066393017,1.244828,0.5922345221042633
